id,sent0,sent1,label-false,perplexity,predicted_false
1175,He loves to stroll at the park with his bed,He loves to stroll at the park with his dog.,0,1783985.6391704855,0.0
452,The inverter was able to power the continent.,The inverter was able to power the house,0,696853.4743552255,1.0
275,The chef put extra lemons on the pizza.,The chef put extra mushrooms on the pizza.,0,1471951.7513376232,0.0
869,sugar is used to make coffee sour,sugar is used to make coffee sweet,0,567133.0378016422,0.0
50,There are beautiful flowers here and there in the garden,There are beautiful planes here and there in the garden,1,923155.3302436752,1.0
1155,"Once a pipe bursts, call a doctor.","Once a pipe bursts, call a plumber.",0,10650161.20417975,1.0
1395,Everyone hates paying taxes,Nobody hates paying taxes,1,32499144.356400035,1.0
967,all whales are small,whales are huge,0,3256136.0457683885,1.0
906,the boat enjoyed rolling in the mud,the pig enjoyed rolling in the mud,0,68762381.55610275,1.0
1465,Barbies are a fantastic desire for kids,Barbies are the horrible desire for kids,1,2922577.9560822765,1.0
1680,The window looks out her,She looks out the window,0,1843661.7132080002,0.0
1964,crack addicts are addicted to chocolate milk,crack addicts are addicted to crack,0,1344866.0327557432,0.0
830,the generator was able to power the continent,the generator was able to power the house,0,1771972.2677409248,0.0
174,Witches are not made of wood,Toads are not made of wood,1,3916189.725366383,1.0
461,She went to the grocery store to get bananas.,She went to the grocery store to get an aneurysm.,1,242744.56937787458,0.0
1978,He pulled the covers over his head when he got into bed.,He pulled the water over his head when he got into bed.,1,4577219.204016282,0.0
495,She is hypnotizing a book.,She is reading a book.,0,29096726.829444367,1.0
1388,Roberts' room is sleeping,Robert close he's eyes and he is sleeping in his room,0,1235396.0918770472,0.0
1572,Birds often fly south for the winter.,Birds like to stay in the same location all year long.,1,824920.3429279231,0.0
305,The boy ate a basketball,The boy ate a donut,0,51896253.38268506,1.0
1695,He put a pig into the pan,He put stake into the pan,0,1005205.496593212,0.0
1886,A mouse is an input device.,waiting in line is for patient people,1,8210106.907720989,1.0
878,humans never go to sleep,when tired humans go to sleep,0,5289118.058038139,1.0
754,I can have a haircut at the pharmacy,I can buy medicine at the pharmacy,0,3971246.4416687363,1.0
1444,There are four years each season.,There are four seasons each year.,0,893234.3842842465,1.0
1065,The giraffe is riding the bicycle.,The young girl is riding the bicycle.,0,7527797.957103555,0.0
543,I put on my sunglasses because it was a hot August day.,I put on my sunglasses because it was an overcast day.,1,2677063.331654288,1.0
518,Kim is taking out the garbage.,Kim is dating the garbage.,1,3206531.857658691,0.0
692,A television plays video with audio.,A television plays audio only.,1,349793.60928608326,0.0
1296,Rabbits are carnivores,Rabbits are herbivores,0,29508294.788553655,1.0
1893,I put a bottle of milk into the fridge.,I put a car inside the fridge.,1,3044012.4733585333,1.0
1915,Firetrucks are red.,Firetrucks are green,1,10811296.766661782,1.0
418,I prefer Amazon to shop online.,Amazon is the only place to shop online.,1,988924.0248435207,0.0
953,a letter carrier is a human,an aircraft carrier is a human,1,18761658.37614813,0.0
1148,Plastic is more expensive than gold.,Gold is more expensive than plastic.,0,8336868.586283294,1.0
1943,The parrot flew onto the branch.,The branch ate the parrot.,1,56947984.09849938,1.0
105,Today I ran two miles to burn a lot of calories to help me lose weight.,Today I ran three ice-creams to gain a lot of calories to help me lose weight.,1,12915904.691611616,1.0
1222,You do not need eyes to read a book.,You must have eyes to read a book.,0,10388598.684517069,0.0
400,the dog is talking,the dog likes to run,0,4526598.872954414,0.0
1610,weathering is a hammer that breaks rock,rock is converted into the soil by weathering,0,18146345.001521092,0.0
230,The sun sprays water on the planet,The sun shines light on the earth,0,2045220.8766992723,0.0
1172,people can need sleep,A reporter can press for an answer.,0,30641838.125850756,1.0
947,he wrote a great novel,he wrote a great hamburger,1,397424.886511205,0.0
1144,If you're rich you can buy a yacht.,If you're poor you can buy a yacht.,1,8094175.699712816,0.0
1017,apple can be red or green,apple is a blue fruit,1,267334.73152442503,0.0
1063,Giraffes have long necks.,Monkeys have long necks.,1,8887110.562510353,1.0
930,Tim went to the school this morning,Tim went to the school in the sky,1,1966222.666952917,1.0
83,Brushes are for hair,Salsa is for hair,1,4662536.233367941,1.0
1145,Everyday I feed my dog some dog food.,Everyday I feed my dog some chocolate bars.,1,20325578.404442195,0.0
363,My knee was scrapped and I put ointment on it.,My knee was scrapped and I put dirt on it.,1,1051164.2289952498,0.0
338,Jeremy fetches the cans of soup from the cabinet.,Jeremy fetches a bull from the cabinet.,1,2521614.3036363283,1.0
391,the TV is on right now,the TV is walking away,1,3100854.8124013506,1.0
1139,Something you find at a hotel is an elevator,Something you find at a hotel is n cow shelter,1,9158031.670663921,1.0
688,He purchased chemical and cement to prepare a sandwich for dinner,He purchased breads and vegetables to prepare a sandwich for dinner,0,8180945.95338682,1.0
704,i am going are computer buy on mobile shop,i am going are computer buy on Acer store,0,8410705.421179812,1.0
1544,Humans wrote the bible about god,God lives physically on earth,1,2178455.508546563,0.0
1760,A family do not need a house.,A house is a shelter for the family.,0,8983880.3672115,1.0
303,We need plants to survive.,We need fire to survive.,1,17611673.276637737,0.0
850,he was given sweets as he passed the exam,he was given sweets as he failed the exam,1,2736045.931459883,0.0
924,the amazon rainforest contains many undiscovered species,the Amazon rainforest does not have any animals on it,1,1434536.704320988,0.0
1840,He filled his Car Tank with Gasoline.,He filled his Car Tank with  water.,1,3615443.8059966615,1.0
